Site,Trial,Color,Pattern,n,Predator,Pred_sum,Attack_Rate
GB,6,Green,Pattern,14,Bird,0,0
GB,6,Green,Solid,14,Bird,0,0
GB,6,Red,Pattern,14,Bird,2,0.142857143
GB,6,Red,Solid,14,Bird,0,0
BH,1,Green,Pattern,1,Rodent,0,0
BH,1,Green,Solid,14,Rodent,1,0.071428571
BH,1,Red,Pattern,13,Rodent,0,0
BH,1,Red,Solid,14,Rodent,2,0.142857143
BH,2,Green,Pattern,13,Rodent,2,0.153846154
BH,2,Green,Solid,13,Rodent,0,0
BH,2,Red,Pattern,14,Rodent,0,0
BH,2,Red,Solid,14,Rodent,0,0
BH,3,Green,Pattern,14,Rodent,0,0
BH,3,Green,Solid,14,Rodent,1,0.071428571
BH,3,Red,Pattern,14,Rodent,1,0.071428571
BH,3,Red,Solid,14,Rodent,0,0
BH,4,Green,Pattern,13,Rodent,0,0
BH,4,Green,Solid,14,Rodent,0,0
BH,4,Red,Pattern,14,Rodent,2,0.142857143
BH,4,Red,Solid,14,Rodent,0,0
BH,5,Green,Pattern,14,Rodent,1,0.071428571
BH,5,Green,Solid,14,Rodent,0,0
BH,5,Red,Pattern,14,Rodent,1,0.071428571
BH,5,Red,Solid,14,Rodent,0,0
BH,6,Green,Pattern,14,Rodent,1,0.071428571
BH,6,Green,Solid,14,Rodent,0,0
BH,6,Red,Pattern,14,Rodent,0,0
BH,6,Red,Solid,14,Rodent,0,0
BP,1,Green,Pattern,3,Rodent,0,0
BP,1,Green,Solid,14,Rodent,1,0.071428571
BP,1,Red,Pattern,13,Rodent,1,0.076923077
BP,1,Red,Solid,14,Rodent,2,0.142857143
BP,2,Green,Pattern,14,Rodent,3,0.214285714
BP,2,Green,Solid,14,Rodent,0,0
BP,2,Red,Pattern,14,Rodent,2,0.142857143
BP,2,Red,Solid,14,Rodent,1,0.071428571
BP,3,Green,Pattern,14,Rodent,0,0
BP,3,Green,Solid,14,Rodent,0,0
BP,3,Red,Pattern,14,Rodent,1,0.071428571
BP,3,Red,Solid,14,Rodent,1,0.071428571
BP,4,Green,Pattern,14,Rodent,0,0
BP,4,Green,Solid,14,Rodent,1,0.071428571
BP,4,Red,Pattern,14,Rodent,0,0
BP,4,Red,Solid,14,Rodent,0,0
BP,5,Green,Pattern,14,Rodent,1,0.071428571
BP,5,Green,Solid,14,Rodent,1,0.071428571
BP,5,Red,Pattern,14,Rodent,3,0.214285714
BP,5,Red,Solid,14,Rodent,2,0.142857143
BP,6,Green,Pattern,14,Rodent,0,0
BP,6,Green,Solid,14,Rodent,3,0.214285714
BP,6,Red,Pattern,13,Rodent,3,0.230769231
BP,6,Red,Solid,14,Rodent,1,0.071428571
GB,1,Green,Pattern,4,Rodent,0,0
GB,1,Green,Solid,13,Rodent,0,0
GB,1,Red,Pattern,14,Rodent,0,0
GB,1,Red,Solid,13,Rodent,0,0
GB,2,Green,Pattern,14,Rodent,0,0
GB,2,Green,Solid,14,Rodent,0,0
GB,2,Red,Pattern,14,Rodent,1,0.071428571
GB,2,Red,Solid,14,Rodent,0,0
GB,3,Green,Pattern,14,Rodent,0,0
GB,3,Green,Solid,13,Rodent,0,0
GB,3,Red,Pattern,14,Rodent,0,0
GB,3,Red,Solid,14,Rodent,0,0
GB,4,Green,Pattern,14,Rodent,0,0
GB,4,Green,Solid,14,Rodent,0,0
GB,4,Red,Pattern,14,Rodent,1,0.071428571
GB,4,Red,Solid,13,Rodent,0,0
GB,5,Green,Pattern,14,Rodent,1,0.071428571
GB,5,Green,Solid,14,Rodent,1,0.071428571
GB,5,Red,Pattern,14,Rodent,3,0.214285714
GB,5,Red,Solid,14,Rodent,0,0
GB,6,Green,Pattern,14,Rodent,0,0
GB,6,Green,Solid,14,Rodent,0,0
GB,6,Red,Pattern,14,Rodent,1,0.071428571
GB,6,Red,Solid,14,Rodent,1,0.071428571
BH,1,Green,Pattern,1,Mammal,0,0
BH,1,Green,Solid,14,Mammal,0,0
BH,1,Red,Pattern,13,Mammal,0,0
BH,1,Red,Solid,14,Mammal,0,0
BH,2,Green,Pattern,13,Mammal,0,0
BH,2,Green,Solid,13,Mammal,0,0
BH,2,Red,Pattern,14,Mammal,0,0
BH,2,Red,Solid,14,Mammal,0,0
BH,3,Green,Pattern,14,Mammal,0,0
BH,3,Green,Solid,14,Mammal,0,0
BH,3,Red,Pattern,14,Mammal,0,0
BH,3,Red,Solid,14,Mammal,0,0
BH,4,Green,Pattern,13,Mammal,0,0
BH,4,Green,Solid,14,Mammal,0,0
BH,4,Red,Pattern,14,Mammal,0,0
BH,4,Red,Solid,14,Mammal,0,0
BH,5,Green,Pattern,14,Mammal,0,0
BH,5,Green,Solid,14,Mammal,0,0
BH,5,Red,Pattern,14,Mammal,0,0
BH,5,Red,Solid,14,Mammal,0,0
BH,6,Green,Pattern,14,Mammal,0,0
BH,6,Green,Solid,14,Mammal,0,0
BH,6,Red,Pattern,14,Mammal,0,0
BH,6,Red,Solid,14,Mammal,1,0.071428571
BP,1,Green,Pattern,3,Mammal,0,0
BP,1,Green,Solid,14,Mammal,0,0
BP,1,Red,Pattern,13,Mammal,0,0
BP,1,Red,Solid,14,Mammal,0,0
BP,2,Green,Pattern,14,Mammal,2,0.142857143
BP,2,Green,Solid,14,Mammal,0,0
BP,2,Red,Pattern,14,Mammal,1,0.071428571
BP,2,Red,Solid,14,Mammal,0,0
BP,3,Green,Pattern,14,Mammal,1,0.071428571
BP,3,Green,Solid,14,Mammal,0,0
BP,3,Red,Pattern,14,Mammal,1,0.071428571
BP,3,Red,Solid,14,Mammal,0,0
BP,4,Green,Pattern,14,Mammal,0,0
BP,4,Green,Solid,14,Mammal,0,0
BP,4,Red,Pattern,14,Mammal,0,0
BP,4,Red,Solid,14,Mammal,0,0
BP,5,Green,Pattern,14,Mammal,0,0
BP,5,Green,Solid,14,Mammal,0,0
BP,5,Red,Pattern,14,Mammal,1,0.071428571
BP,5,Red,Solid,14,Mammal,0,0
BP,6,Green,Pattern,14,Mammal,0,0
BP,6,Green,Solid,14,Mammal,0,0
BP,6,Red,Pattern,13,Mammal,0,0
BP,6,Red,Solid,14,Mammal,0,0
GB,1,Green,Pattern,4,Mammal,0,0
GB,1,Green,Solid,13,Mammal,0,0
GB,1,Red,Pattern,14,Mammal,0,0
GB,1,Red,Solid,13,Mammal,0,0
GB,2,Green,Pattern,14,Mammal,0,0
GB,2,Green,Solid,14,Mammal,0,0
GB,2,Red,Pattern,14,Mammal,1,0.071428571
GB,2,Red,Solid,14,Mammal,0,0
GB,3,Green,Pattern,14,Mammal,0,0
GB,3,Green,Solid,13,Mammal,0,0
GB,3,Red,Pattern,14,Mammal,0,0
GB,3,Red,Solid,14,Mammal,0,0
GB,4,Green,Pattern,14,Mammal,1,0.071428571
GB,4,Green,Solid,14,Mammal,1,0.071428571
GB,4,Red,Pattern,14,Mammal,0,0
GB,4,Red,Solid,13,Mammal,0,0
GB,5,Green,Pattern,14,Mammal,0,0
GB,5,Green,Solid,14,Mammal,1,0.071428571
GB,5,Red,Pattern,14,Mammal,0,0
GB,5,Red,Solid,14,Mammal,1,0.071428571
GB,6,Green,Pattern,14,Mammal,0,0
GB,6,Green,Solid,14,Mammal,0,0
GB,6,Red,Pattern,14,Mammal,0,0
GB,6,Red,Solid,14,Mammal,0,0
